{bcb, ded, abc, cfe, eaa, fdf}
{bfe, feb, adf, dca, cac, ebd}
{cfd, deb, adf, bce, faa, ebc}
{cfd, feb, adf, bbc, eaa, dce}
{dda, bbc, cfe, ecb, aad, fef}
{cfe, dca, aad, ebc, fdf, beb}
{adf, cfe, dcc, ebd, faa, beb}
{bfe, feb, dca, cdf, aad, ebc}
{cdb, aad, fef, ebc, dce, bfa}
{abc, eaa, cdf, ffd, dce, beb}
{ded, adf, ecb, cbe, fac, bfa}
{bcb, dda, cfe, aad, fef, ebc}
{deb, bfe, adf, cba, fcd, eac}
{cfd, bec, adf, ebb, faa, dce}
{bfe, abd, feb, dca, cdf, eac}
{cfd, abb, bec, eaa, dce, fdf}
{cdc, ebb, aad, fef, dce, bfa}
{feb, cdc, aad, dce, ebf, bfa}
{adf, cfe, dbc, eaa, fcd, beb}
{abd, cfe, dca, eac, fdf, beb}
{bcb, ded, adf, cfe, faa, ebc}
{bcb, ded, adf, cfe, eaa, fbc}
{bfe, feb, cdc, dca, aad, ebf}
{deb, bfe, abc, eaa, cdf, fcd}
{cdb, bfe, abc, def, eaa, fcd}
{feb, adf, cac, ebd, dce, bfa}
{cfd, adf, eaa, fbc, dce, beb}
{ded, adf, bbc, cfe, ecb, faa}
{feb, adf, cfe, dca, bad, ebc}
{deb, adf, cba, bce, ffd, eac}
{feb, adf, cfe, eaa, dcc, bbd}
{cfd, abb, dda, bce, fef, eac}
{adf, dca, ffd, eac, cbe, beb}
{cfd, deb, adf, eaa, bce, fbc}
{cdb, bfe, abd, dca, fef, eac}
{bfe, ded, abc, cdf, ecb, faa}
{cfd, abc, eaa, dce, fdf, beb}
{adf, eaa, dcc, ffd, cbe, beb}
{cfd, feb, adf, dbc, eaa, bce}
{abb, bec, eaa, cdf, ffd, dce}
{feb, cdf, aad, ebc, dce, bfa}
{abb, bec, cfe, eaa, fcd, ddf}
{bec, cfe, dca, ebb, aad, fdf}
{abc, cfe, eaa, fcd, ddf, beb}
{cfd, feb, abc, eaa, bce, ddf}
{adf, cfe, dca, ebd, fac, beb}
{abd, cfe, eaa, dcc, fdf, beb}
{deb, adf, fcd, eac, cbe, bfa}
{bfe, ded, adf, cba, ecb, fac}
{feb, adf, cfe, dca, bbd, eac}
{adf, cba, ffd, eac, dce, beb}
{bfe, cdc, dca, ebb, aad, fef}
{abb, bfe, cdc, def, eaa, fcd}
{abb, cdc, def, eaa, bce, ffd}
{deb, adf, bbc, cfe, eaa, fcd}
{cdb, abc, def, eaa, bce, ffd}
{dda, abc, cfe, bad, ecb, fef}
{cdb, bfe, dca, aad, fef, ebc}
{cdb, abd, fef, eac, dce, bfa}
{bfe, abd, cdc, def, ecb, faa}
{bec, abd, cfe, ecb, faa, ddf}
{abd, feb, cdf, eac, dce, bfa}
{cfd, adf, faa, ebc, dce, beb}
{bec, adf, cfe, ecb, faa, dbd}
{abd, eaa, cdf, bce, dej, fjc}
{ded, eaa, bce, fdf, cbj, ajc}
{ajj, dda, cac, bce, fef, ebd}
{ajj, bec, cdf, ebd, faa, dce}
{eje, dca, cac, bbd, aej, fdf}
{eje, bbc, dca, cdf, aad, fej}
{cdf, bce, ebd, faa, dej, ajc}
{ejf, abd, cdc, bce, faa, dej}
{dda, fcd, eac, cbe, aej, bjf}
{eaa, cdf, bbd, aej, dce, fjc}
{ajj, cdc, def, bce, ebd, faa}
{eje, dca, cdf, bbd, aej, fac}
{ajj, ded, cba, bce, eac, fdf}
{eje, dca, cdf, aad, bej, fbc}
{eaa, cdf, bce, dbd, fej, ajc}
{bec, eje, dca, aad, fdf, cbj}
{eje, adf, cba, fcd, bej, dac}
{ded, adf, eaa, bce, cbj, fjc}
{cdf, ebd, bej, faa, dce, ajc}
{eje, cba, bad, dcc, aej, fdf}
{ded, adf, cba, bce, fjc, eaj}
{ejf, dda, abd, cac, bce, fej}
{eaa, cdf, bce, fbc, aej, djd}
{abd, cdc, eaa, dce, fej, bjf}
{ajj, bec, eaa, fcd, cbe, ddf}
{eje, adf, cba, bad, dcc, fej}
{cdc, ebd, faa, aej, dce, bjf}
{ajj, cdc, eaa, bce, fef, dbd}
{cba, bce, eac, aej, fdf, djd}
{ded, cba, bce, fdf, ajc, eaj}
{eje, abd, cdc, dca, baf, fej}
{eaa, fcd, bej, cbe, ddf, ajc}
{ajj, ded, cdf, bce, faa, ebc}
{cdc, bce, faa, aej, ebf, djd}
{eje, abc, dca, bad, cdf, fej}
{ajj, ded, eaa, cdf, bce, fbc}
{eje, abd, dca, cac, bej, fdf}
{cdf, bce, faa, ebc, aej, djd}
{ajj, ded, cdc, bce, faa, ebf}
{eaa, cdf, bbd, dce, fej, ajc}
{dda, bce, fef, ebd, ajc, caj}
{adf, cba, bce, eac, fej, djd}
{ejf, cdc, bce, faa, dbd, aej}
{ajj, cdc, eaa, bbd, fef, dce}
{eje, cdf, dcc, bbd, faa, aej}
{eaa, cdf, bce, dbd, aej, fjc}
{abd, eaa, cdf, bej, dce, fjc}
{abc, eaa, cdf, bce, fej, djd}
{eje, dca, bad, cdf, fbc, aej}
{eje, adf, dca, cac, bbd, fej}
{eje, abd, cdf, dcc, bej, faa}
{eje, cba, dcc, aad, bej, fdf}
{ejf, cdc, bbd, faa, aej, dce}
{eje, abd, dca, cdf, bej, fac}
{bec, eje, abd, dca, fdf, caj}
{ejf, abd, cdc, bej, faa, dce}
{cdb, bce, fef, dbd, ajc, eaj}
{ajj, cdb, bce, fef, ebd, dac}
{ajj, deb, cac, bce, ebd, fdf}
{ajj, cdb, bce, fef, eac, dbd}
{cdb, eje, abd, dcc, baf, fej}
{abd, cdf, bce, dac, fej, ejb}
{ajj, fcd, eac, cbe, ddf, beb}
{cdf, bce, aad, fbc, dej, ejb}
{ajj, feb, cdc, bad, dce, ebf}
{bcb, eje, dbc, cdf, aad, fej}
{bad, ecb, cbe, dej, fdf, ajc}
{cdb, bce, aej, ebf, fac, djd}
{ajj, ded, ebb, cac, bce, fdf}
